Start time,End time,Language code,Confidence,Channel,Speaker tag,Transcript
232.800,245.600,en-us,0.93028,,2," that the decision is appealed to the medical. So my question is what does the word appeal mean in such a setting does it not mean? I'm requesting the court to have a look at The Minister's decision. Yes."
246.600,252.700,en-us,0.78873,,1," But I'm not sure that this is really all that relevant to what is important."
252.700,253.800,en-us,0.78873,,2," It will be."
253.800,255.300,en-us,0.78873,,1," Okay. So you like to explain that?"
255.300,258.100,en-us,0.78873,,2," Yes, of course second question is"
259.100,264.100,en-us,0.81079,,2," In the context of the Courts of the federal courts, what is an act of Parliament?"
265.400,266.700,en-us,0.82295,,2," My understanding is that it is."
271.100,275.600,en-us,0.86784,,2," That is just it's not a procedural. It's not a procedural rule."
276.600,281.900,en-us,0.73106,,2," It is a piece of evidence is evidence of the truth against which the court measures."
287.400,288.200,en-us,0.82188,,2," Um,"
288.200,289.300,en-us,0.82188,,1," it's a nice apartment"
289.300,295.600,en-us,0.82188,,2," it is that's correct. But what is it to you? Is it evidence? Is it rules? Is it procedural?"
295.600,296.500,en-us,0.82188,,1," It's not"
296.500,299.300,en-us,0.82188,,2," it's not the measuring stick."
299.300,299.800,en-us,0.82188,,1," Yes."
301.000,302.700,en-us,0.63995,,2," so and after Parliament"
304.700,307.600,en-us,0.86437,,2," Set out what the truth is. It's something that you"
307.600,313.700,en-us,0.86437,,1," wrote it has nothing to do with the dog or the dog is the law and the true relates to evidence."
314.800,314.900,en-us,0.57641,,2," All right."
315.400,320.600,en-us,0.74522,,2," So when you are asked to take an act of parliament under traditional review"
321.800,322.800,en-us,0.76980,,2," Does that not mean that"
322.800,341.000,en-us,0.76980,,1," we're not taking an act of parliament under judicial review not under 135 we're looking at the whether or not there is a contraction that's a factual and legal question. If there was a comfortable under the constant. We're not discussing the validity of the custom."
341.800,347.900,en-us,0.78270,,2," My wording was was was working. What I meant to say is when you take"
348.900,356.400,en-us,0.63226,,2," an act of parliament under traditional notice according to the Canada Evidence Act"
357.500,361.800,en-us,0.86543,,2," The court has to take back the parliament as judicial notice."
363.400,365.100,en-us,0.88711,,2," Does not mean that you"
365.100,371.200,en-us,0.88711,,1," okay, where are they? Just we have two hours. Okay, three hours for your two files."
371.900,380.100,en-us,0.91349,,1," It's nice. If you want to raise all kinds of culinary questions, but you will have to get to the meat that's what we have to decide"
380.100,381.900,en-us,0.91349,,2," very well. I always get this one."
384.800,389.800,en-us,0.80609,,2," Very important question for me. They originally the first distance."
390.800,397.300,en-us,0.73214,,2," Wasn't the process and it was quite substantial substantially in terms of evidence provided the appealable."
398.400,399.600,en-us,0.71616,,2," for the motion"
400.700,405.400,en-us,0.77762,,2," for Amendment for summer judgment was substantial."
406.500,407.700,en-us,0.47751,,2," sum 700 pages"
408.700,409.400,en-us,0.79515,,2," my question to you is"
410.800,417.700,en-us,0.68780,,2," give me that my presentation today is aims to succeed at convincing other was a an overriding are and that you have to drink."
419.600,421.500,en-us,0.62428,,2," What is spent am I required to do?"
425.800,426.600,en-us,0.68998,,2," orginal"
428.800,429.600,en-us,0.78580,,2," Um, in other words,"
429.600,433.800,en-us,0.78580,,1," they just think that says before us are the two Appeals."
434.800,436.600,en-us,0.50003,,1," Okay, if two of their books."
437.500,443.100,en-us,0.82999,,1," For me it feels because one has several so that's what before us."
445.000,456.800,en-us,0.90846,,1," I don't know yet how you want to proceed. So if you worked proceed then I would be helping you by saying you have evidence. We can't talk to them in here."
456.800,464.400,en-us,0.90846,,2," Of course. My question is in case I convinced you that that your intervention is required."
468.300,474.900,en-us,0.85528,,2," What what this case be returned back to the federal court for the determination. Would you determine the facts? Where would I we"
474.900,476.100,en-us,0.85528,,1," don't determine facts?"
477.000,478.800,en-us,0.81344,,2," So would it go back to the drug court then?"
478.800,481.800,en-us,0.81344,,1," It depends on what they says we intervene."
486.400,487.800,en-us,0.83620,,1," We can't make fun things."
488.900,495.100,en-us,0.83884,,1," So if all the facts don't need to be determined and it's a pure question at all we can decide."
496.500,499.800,en-us,0.79613,,1," It's not that if there's a reassessment of the others."
500.300,501.500,en-us,0.78964,,1," Then we send it back."
501.500,514.500,en-us,0.78964,,2," All right, very good. Perfect that answers to my first trip. My last one is I noticed that the deficiency of my book of authority of authorities for the a101 case, which is the amendment."
515.900,518.500,en-us,0.91720,,2," I noticed that I entered the wrong."
519.600,524.400,en-us,0.82652,,2," Section of the Trail Court rules I would like to submit around."
532.500,534.300,en-us,0.60328,,1," That's the responsibility."
539.200,551.200,en-us,0.74553,,2," The federal court rules I have I had quoted I meant to include rules 76."
552.400,556.400,en-us,0.52167,,2," And 200 which are relevant to memory."
556.400,559.300,en-us,0.52167,,1," So don't worry. We don't know we will find it."
559.300,559.700,en-us,0.52167,,2," All right."
561.900,565.100,en-us,0.47409,,2," So that your time and patience and over again?"
568.000,575.900,en-us,0.60748,,2," Are they just start with one-to-one, which is the amendment motion. I will be."
577.900,580.400,en-us,0.71976,,2," Have two words to presenting the the reason."
581.200,584.400,en-us,0.92144,,2," Why amendments are necessary why the members are done at all?"
585.500,588.400,en-us,0.91057,,2," And how they fit with the rest of the preceding."
590.200,607.100,en-us,0.82637,,2," What's their purpose and me then? I will describe the overriding and palpable errors that an ocean. Judge May and after this I will close by."
615.000,619.600,en-us,0.62379,,2," By showing why you should intervene and change the"
619.600,621.000,en-us,0.62379,,1," clock decision now."
630.300,633.400,en-us,0.75068,,1," How are you? I don't know how much time you need to."
634.100,636.700,en-us,0.61072,,1," What was the I just want you to have that"
636.700,645.000,en-us,0.61072,,2," was much more than that. I have just killed it down to"
645.000,645.900,en-us,0.61072,,1," buy"
645.900,646.300,en-us,0.61072,,2," locked."
647.500,648.400,en-us,0.83716,,2," So"
648.400,650.200,en-us,0.83716,,1," how much time do you think the two?"
651.100,651.900,en-us,0.86395,,1," Presentation"
651.900,655.800,en-us,0.86395,,2," for both of you. I think I will need the entire time I made and go over time."
656.500,658.600,en-us,0.84109,,2," I made we won't go over."
658.600,659.400,en-us,0.84109,,1," There we go."
661.900,663.000,en-us,0.98950,,2," I may not be able to finish."
664.400,664.800,en-us,0.61686,,2," in the"
665.200,665.400,en-us,0.83475,,2," in"
665.400,674.600,en-us,0.83475,,1," the cell phone what I would suggest to you. Okay, and you decide what you want to do, but I was suggest to you that as a court of appeal. We know very well."
675.800,680.100,en-us,0.87068,,1," What is the meaning of an amendment and the rules has to do it?"
680.800,686.900,en-us,0.77281,,1," If I were you, I would really dig immediately into why there's an error."
687.900,688.200,en-us,0.71205,,1," seriously"
690.000,693.500,en-us,0.79173,,1," You can't trust us. We know the rules about them. Okay?"
694.900,696.500,en-us,0.67634,,1," That's where you'll have more time. Yes."
696.500,706.300,en-us,0.67634,,2," However, I would like to very very briefly talk about the meaning honorable to you know."
709.000,714.400,en-us,0.80890,,2," ordinary action the purpose of the amendments to the cleanings are to set the"
715.500,738.700,en-us,0.74464,,2," agenda for for the procedure that is to inform both the defendant and of course as to what the issues and questions are such that there are no surprise is to either party and such that their the defendants rights are protected such that they can prepare for for the eventual trial."
740.200,751.300,en-us,0.85058,,2," Um, according to the federal court rules amendments can be made at very stages of the proceeding with or without legal of the Court."
752.200,755.200,en-us,0.80632,,2," As before the dependent given submits a reply."
757.000,759.600,en-us,0.85734,,2," Amendment can be made without without even"
759.600,764.200,en-us,0.85734,,1," being that in this case. The statement of Defense had been"
765.300,765.600,en-us,0.74252,,2," Yes,"
765.600,769.800,en-us,0.74252,,1," so that's a that's a reply. So that means you need the leaf of the Court,"
769.800,770.700,en-us,0.74252,,2," correct?"
770.700,772.100,en-us,0.74252,,1," Okay, so let's get on with"
773.400,778.100,en-us,0.69859,,2," My point is that even after that the defense is is entered."
779.300,783.200,en-us,0.81198,,2," Their the parties can still consent."
784.400,785.000,en-us,0.34950,,1," No, I mean."
789.800,791.100,en-us,0.58514,,1," was considered"
792.100,795.200,en-us,0.71973,,1," If there is a consent, but it's still the court that this up"
795.200,796.400,en-us,0.71973,,2," everything."
799.200,806.800,en-us,0.73148,,2," I will then skip to the powerful Bears. So on the emotional format the motion judge."
808.200,808.800,en-us,0.88700,,2," the most"
810.100,816.100,en-us,0.83019,,2," visible problem of errors that take considered evidence and deciding the motion which is something that"
818.000,826.500,en-us,0.79647,,2," he is not permitted to consider oriented with the federal court rules. And also according to the Ontario civil procedure."
826.500,832.600,en-us,0.79647,,1," Okay, why don't you turn to the rules which rules says that he doesn't have the right to look at that and"
840.700,841.500,en-us,0.29092,,2," the automation"
858.100,858.400,en-us,0.36567,,2," High"
859.100,863.000,en-us,0.42548,,1," Let's have a look."
870.400,877.200,en-us,0.55586,,1," That's which case"
877.200,878.700,en-us,0.55586,,2," Fisher."
881.100,882.100,en-us,0.88547,,1," 23"
883.100,886.900,en-us,0.77581,,1," I don't have pages and that's what I'm"
892.000,894.200,en-us,0.83715,,2," gonna be at the bottom of the page bottom line."
895.500,900.500,en-us,0.82084,,1," Yes, but age 23 for me is a tax axis."
902.000,903.600,en-us,0.73931,,1," the excise tax act"
904.700,906.300,en-us,0.64976,,2," the latest Authority book"
907.200,907.500,en-us,0.53777,,1," Yeah."
909.400,909.600,en-us,0.59957,,1," Yeah."
923.700,925.600,en-us,0.86356,,1," My friend as a book."
928.800,930.900,en-us,0.76612,,1," And the same book with different pages."
932.600,933.500,en-us,0.47910,,1," Okay Bauer."
950.300,954.100,en-us,0.50118,,1," as my colleague said"
959.900,962.300,en-us,0.84102,,1," So you have the same one. You don't have the Devourer?"
962.800,966.000,en-us,0.75261,,1," Okay. Okay. I don't know why"
966.000,969.200,en-us,0.75261,,2," I'm saying one may see it."
969.200,969.500,en-us,0.75261,,1," Yes."
974.200,976.700,en-us,0.65392,,2," This is one of two"
976.700,978.300,en-us,0.65392,,1," your friend to 102"
978.300,980.400,en-us,0.65392,,2," know. This is the book for one or two."
981.400,983.300,en-us,0.73091,,1," But you said you were dealing with 101."
985.900,989.200,en-us,0.91775,,2," I'm dealing with one-on-one, but somehow the printing."
990.600,993.700,en-us,0.70248,,2," They must have fallen the the front pages."
997.400,997.800,en-us,0.60410,,1," The covers."
997.800,1000.700,en-us,0.60410,,2," Okay."
1000.700,1002.200,en-us,0.60410,,1," No problem."
1004.000,1005.300,en-us,0.65111,,1," You're referring to the decision."
1014.200,1016.600,en-us,0.44116,,1," Which paragraph"
1016.600,1017.500,en-us,0.44116,,2," paragraph 16?"
1018.700,1019.300,en-us,0.40363,,1," Stinky. Yes."
1020.800,1028.300,en-us,0.50219,,2," When determining whether amendment should be allowed to the church setting the matter Joshua capable of getting"
1028.300,1028.800,en-us,0.50219,,1," instructions"
1028.800,1035.700,en-us,0.50219,,2," for being struck in the middle court rules."
1036.600,1038.200,en-us,0.59678,,2," Are is rule number?"
1039.300,1042.300,en-us,0.29666,,2," in 2121"
1043.200,1046.000,en-us,0.91688,,1," But there are several paragraphs."
1046.700,1053.400,en-us,0.91273,,1," And only the paragraph no reasonable cause of action. You don't look at evidence all the other paragraph you look at it."
1061.500,1061.700,en-us,0.64647,,1," Yes"
1061.700,1065.700,en-us,0.64647,,2," generous, correct."
1065.700,1082.800,en-us,0.64647,,1," So if the church things that there's no chance of success or taxation or and that's the another paragraph that you want one where is entitled to look at it?"
1082.800,1098.200,en-us,0.64647,,2," Yes. However in those in this case those were not considered for those other points the church didn't look what was immaterial or redundant material. He didn't look at whether there was candles. He was no language like that in his decision."
1098.700,1101.400,en-us,0.69298,,1," Oh, okay. Let's look at the decision."
1112.300,1118.300,en-us,0.53684,,1," is order"
1124.500,1125.200,en-us,0.80166,,1," Yes, power"
1125.200,1126.600,en-us,0.80166,,2," power antenna."
1128.000,1131.000,en-us,0.90901,,1," Yes, so that's the same case you refer to"
1131.000,1132.000,en-us,0.90901,,2," yes."
1132.900,1137.700,en-us,0.85985,,1," And the proposed extending that came to not demonstrate their reasonable chance of success."
1142.300,1144.100,en-us,0.79978,,2," I guess you're under the test for"
1146.100,1147.600,en-us,0.85659,,2," for emotions to amend is"
1148.500,1148.900,en-us,0.74215,,2," I was"
1150.500,1159.500,en-us,0.77436,,2," I think most authoritatively rested by the federal court by the Supreme Court and Imperial tobacco."
1159.500,1160.100,en-us,0.77436,,1," Yes,"
1160.100,1162.600,en-us,0.77436,,2," which is records by these other cases."
1162.600,1163.400,en-us,0.77436,,1," Yes."
1169.000,1170.800,en-us,0.67350,,2," very little case is that"
1171.700,1172.200,en-us,0.41001,,2," page"
1190.700,1203.600,en-us,0.82437,,1," So yeah, but that was also that 22 a 2.18 it was the there was no reasonable cause of action so there he don't look at evidence."
1208.000,1209.500,en-us,0.86083,,1," well, perhaps it would then be"
1209.500,1223.300,en-us,0.86083,,2," helpful for me to look at why MMS are necessary what their life cycle is why why and when evidence should not considered in a case that emotion to amend would be"
1224.300,1233.600,en-us,0.88831,,2," Dismissed that is the client will be blocked from being heard. The plaintiff can always submit."
1234.400,1236.200,en-us,0.77217,,2," That many men as a new option."
1237.600,1252.100,en-us,0.66523,,2," As a new statement of Clans to pursue the same dispute because just by blocking the amendment does not result. It is just so the plaintiff would then"
1254.500,1257.600,en-us,0.65732,,2," get it as a new action."
1258.600,1261.500,en-us,0.73146,,2," based on the same material thoughts"
1262.600,1263.300,en-us,0.71366,,2," It's always because"
1263.300,1267.900,en-us,0.71366,,1," you say if he doesn't allow the amendments."
1268.800,1273.300,en-us,0.89423,,1," Their claim as it was is still before the court. Is that what you"
1273.300,1273.800,en-us,0.89423,,2," said is, correct?"
1273.800,1280.800,en-us,0.89423,,1," Okay. So the same before the court is still and that brings us to the second appeal."
1282.400,1285.700,en-us,0.86993,,1," Because you see these things are very much linked."
1286.500,1286.700,en-us,0.72459,,2," Yeah."
1289.200,1295.900,en-us,0.60258,,2," But the Amendments the proposed amendments are are left in the air. They're not"
1295.900,1299.100,en-us,0.60258,,1," having discarded."
1310.100,1319.200,en-us,0.75751,,1," Allow them you're saying that they still exist in that there's still a cause of action."
1320.100,1321.700,en-us,0.91165,,1," That's available to you."
1332.100,1335.400,en-us,0.68552,,1," There's something adding to something that goes over there."
1335.400,1338.700,en-us,0.68552,,2," Well, you are one of the Amendments doesn't produce any costs about"
1338.700,1339.500,en-us,0.68552,,1," which one"
1339.500,1340.800,en-us,0.68552,,2," that is the one that"
1346.000,1347.000,en-us,0.46604,,1,"All right proposed on them."
1350.600,1352.200,en-us,0.70123,,1," You're adding two defendants."
1352.200,1357.400,en-us,0.70123,,2," I might put a defenders in their capacity as a crowned as agents of the crown."
1359.300,1369.200,en-us,0.57080,,1," Okay, 25 just by I'm looking now at the age of 48 Bill booking."
1370.800,1372.500,en-us,0.64848,,1," That is Amanda the underlying"
1372.500,1373.100,en-us,0.64848,,2," yes,"
1373.100,1375.600,en-us,0.64848,,1," which one has the new Car Connection?"
1417.500,1424.900,en-us,0.56244,,2," The claim is that the CBS history commits under 16th South America RC. The CBC is circulates the internal operations. Thank you."
1425.800,1426.100,en-us,0.51988,,1," and"
1427.100,1428.000,en-us,0.80608,,1," 61"
1428.900,1429.200,en-us,0.89270,,1," so that's"
1430.100,1432.000,en-us,0.61121,,1," 60 16 C is on page 60"
1432.000,1435.200,en-us,0.61121,,2," page. Yes, 16 C is on page 161"
1436.400,1437.600,en-us,0.59962,,1," I have a home page"
1437.600,1438.900,en-us,0.59962,,2," 660."
1442.700,1444.400,en-us,0.53081,,1," Is that the cbsa?"
1449.500,1451.000,en-us,0.68681,,1," For me, it's page 60."
1451.600,1459.100,en-us,0.67334,,1," So I don't know why but okay. So that's the important thing. We have the right pair. So you're saying this is a new cause an action"
1459.100,1461.900,en-us,0.67334,,2," it alleges that they"
1462.800,1464.000,en-us,0.50490,,2," say is involved in Monday."
1465.900,1467.200,en-us,0.80812,,1," but that's not it's just"
1468.600,1475.700,en-us,0.75285,,1," Isn't it just a remedy? Because you've already said that you thought that you was"
1479.500,1480.200,en-us,0.46301,,1," enabling"
1484.000,1493.900,en-us,0.58231,,2," I just had not mentioned money laundering if you are my longer is a new cause of action in the Amendments before that in the original statement of"
1495.400,1497.800,en-us,0.65729,,2," Planting my head suspected that it was something that's"
1497.800,1500.100,en-us,0.65729,,1," good. So what else is a new cause"
1505.800,1506.600,en-us,0.83430,,1," and there's a lot"
1506.600,1508.300,en-us,0.83430,,2," of underlining."
1509.400,1513.100,en-us,0.80977,,1," Yes, but most of this is really."
1514.700,1523.500,en-us,0.89372,,1," All related you see you cannot come to 16 and plain unless you've had allegation in the first part."
1524.100,1527.600,en-us,0.90578,,1," So there are allegations that are linked to these."
1532.600,1539.600,en-us,0.77517,,1," Because you see like that these this is not a new cause of action. It's just"
1540.900,1546.600,en-us,0.72619,,1," you're making education of fat that would bring you into whatever remedy you're asking."
1547.400,1553.200,en-us,0.59189,,2," Well, if I find religion that CBS is a criminal organization."
1553.200,1561.700,en-us,0.59189,,1," Okay, let's not lose too much time on this. Okay. So here saying let's say 17 a is a new plane because it's finished."
1569.600,1573.500,en-us,0.88607,,2," There before that was there before."
1576.300,1584.600,en-us,0.90064,,1," So that this new apart from that because you didn't ask for 2004 we did ask for 15,000."
1585.700,1587.900,en-us,0.93721,,1," I'm just not seeing."
1589.700,1592.300,en-us,0.94601,,1," New cause of action that would stand on their own."
1594.000,1594.800,en-us,0.47201,,2," the honor this"
1597.000,1605.400,en-us,0.84243,,2," without finding specifically the paragraph because they're so many that I had touched the allegation of"
1607.000,1610.400,en-us,0.78274,,2," money laundering and criminal organization are new."
1610.400,1617.700,en-us,0.78274,,1," Okay, and what what's the point of this do you were saying that these would stand on their own in another proceedings?"
1617.700,1619.900,en-us,0.78274,,2," They can be pursued on their own. So"
1619.900,1621.200,en-us,0.78274,,1," now there's not Time bar."
1622.400,1632.500,en-us,0.74049,,1," You have the time limitation issue. You cannot take an action, you know 20 years from the date of the events and say I have this"
1632.500,1637.900,en-us,0.74049,,2," is correct. But at the time that they maybe was proposed."
1639.200,1642.600,en-us,0.86971,,2," I had only just learned about the money laundering."
1642.600,1646.400,en-us,0.86971,,1," Okay, you can always what you're saying is that you can"
1647.300,1649.400,en-us,0.84525,,1," take a separate action. Is that what you're"
1649.400,1650.400,en-us,0.84525,,2," saying? Well, yes."
1650.400,1653.900,en-us,0.84525,,1," Okay. So why don't you that's what you say"
1653.900,1660.800,en-us,0.84525,,2," because that would not be the most vicious and and this cost way to reach Justice."
1660.800,1665.700,en-us,0.84525,,1," Okay, that's your argument for why you made an error?"
1667.300,1668.900,en-us,0.69391,,1," Because we have to make sense of this."
1668.900,1673.300,en-us,0.69391,,2," Well, you are my argument is that he used evidence where shouldn't have?"
1675.300,1676.900,en-us,0.65948,,2," the court"
1679.900,1682.400,en-us,0.84183,,2," I'm sorry. My presentation is"
1682.400,1686.700,en-us,0.84183,,1," no I'm just trying to make sure that I don't want to miss what you're saying."
1687.800,1692.400,en-us,0.64884,,1," You started with that. Okay that you should not have look at that. I thought"
1698.500,1702.800,en-us,0.75107,,2," well, you said that he may not look at evidence on"
1702.800,1711.400,en-us,0.75107,,1," 2.181 a but it can't accept there's a they are exception under eight for to addiction. For example."
1718.800,1721.200,en-us,0.73240,,2,"Well, they're not stated in their rules. You're on."
1721.200,1723.200,en-us,0.73240,,1," Yeah, but they're stated in the case of"
1723.800,1730.500,en-us,0.83934,,1," that's very cute in their role. It doesn't say and the thing that the rule is being construed by Caseville."
1731.200,1731.200,en-us,0.87100,,1," and"
1732.400,1735.200,en-us,0.85289,,1," if I'm not mistaken, it's fun for"
1737.400,1739.200,en-us,0.74629,,1," That but anyway, I"
1739.200,1739.300,en-us,0.74629,,2," am"
1739.300,1741.900,en-us,0.74629,,1," operating we continue"
1741.900,1745.100,en-us,0.74629,,2," operating under the guidance of the Supreme Court."
1749.500,1752.100,en-us,0.80730,,2," Says very clearly and without doubt."
1757.600,1758.500,en-us,0.48226,,2," All"
1758.500,1760.900,en-us,0.48226,,1," okay. Let's let's"
1762.200,1762.200,en-us,0.23883,,1," continue"
1780.500,1786.300,en-us,0.46017,,2," and 23"
1799.100,1805.500,en-us,0.83324,,2,"What is impossible to enumerate all the factors that a judge must take into participation determining whether an adjustment?"
1806.000,1821.400,en-us,0.80936,,2," Where is it whether it is just a given case to authorizing Amendment. The general rules is that an amendment should be allowed at any state or the action for the purpose of determining their real questions and controversy between the department provided notably that the allowance will not result in an injustice."
1822.500,1825.800,en-us,0.59447,,2," For the other party and not capable of being Complicated by an award of costs."
1825.800,1831.500,en-us,0.59447,,1," That's good. That's good. As I told you don't lose too much time on the law. We can read it"
1831.500,1838.500,en-us,0.59447,,2," in case you're under that is oh I have for"
1840.000,1840.600,en-us,0.60562,,2," this presentation"
1840.600,1841.900,en-us,0.60562,,1," that's that's"
1845.800,1848.500,en-us,0.69778,,1," wrong in using evidence"
1849.500,1852.700,en-us,0.61492,,1," and that would be an airplane."
1854.100,1856.900,en-us,0.82692,,2," specifically"
1859.500,1868.000,en-us,0.84990,,1," Or it might be an error in his that is a reasons are not clear enough as to which paragraph he was looking at."
1868.000,1881.400,en-us,0.84990,,2," Well the owner in a few words I can demonstrate why looking at sectional 106 which is what the defendant proposed is flawed to look at that point. And that's for"
1881.400,1882.000,en-us,0.84990,,1," the amendment."
1882.800,1884.600,en-us,0.70087,,2," No, one of the Customs out."
1884.600,1887.900,en-us,0.70087,,1," Yes, but we're now looking at are you"
1887.900,1896.500,en-us,0.70087,,2," on the amendment? I'm only doing with the members so far. I'm understanding that. We're addressing these two cases separately."
1896.500,1900.900,en-us,0.70087,,1," No, but what your hour and a half is for the two of them?"
1903.100,1904.700,en-us,0.71477,,1," It's three hours for both."
1904.700,1908.600,en-us,0.71477,,2," Yes. We are only dealing with"
1909.700,1910.000,en-us,0.65321,,2," so what"
1910.000,1911.200,en-us,0.65321,,1," do you want to say about so"
1911.200,1919.700,en-us,0.65321,,2," many six the pendant proposed officers wear?"
1922.700,1924.600,en-us,0.90455,,2," Would not be liable."
1925.800,1927.600,en-us,0.55100,,2," For their actions under the custom job."
1927.600,1928.100,en-us,0.55100,,1," Yes."
1928.100,1935.200,en-us,0.55100,,2," Nobody do not be liable. Not under the customer's of"
1936.300,1937.000,en-us,0.74795,,2," Activities."
1937.000,1937.700,en-us,0.74795,,1," Yes"
1937.700,1941.000,en-us,0.74795,,2," under the Customs act and yes, they are nothing for someone"
1941.000,1944.100,en-us,0.74795,,1," okay, if they are not in pursuant."
1944.800,1947.500,en-us,0.78941,,1," The crown cannot be the scariest sleep liable."
1948.100,1955.000,en-us,0.94488,,1," You cannot sue the crown for something done outside of their duties. You can sue them but you cannot sue the crown."
1956.100,1956.700,en-us,0.90580,,2," Well the crown"
1956.700,1962.200,en-us,0.90580,,1," either they are inside their Duty and the crown because of the employer are liable for them."
1963.100,1969.600,en-us,0.87123,,1," Okay, they cherish me or they're not doing it on their Duty then they are responsible for it."
1970.700,1972.600,en-us,0.91912,,2," Well, they're not doing it in their personal capacity."
1973.900,1991.100,en-us,0.84714,,1," What if they're doing a frog that's what you're saying? They're doing a fraud. It's and it's outside of the customer. You're trying to get out of Windows 6 to get out of Windows 6. You have to get out of the crust on that and you have to get out of the vicarious liability of the front."
1991.900,1992.800,en-us,0.79515,,1," You know, the word is"
1992.800,1994.300,en-us,0.79515,,2," not really"
1994.300,2004.200,en-us,0.79515,,1," cares means you are responsible for your agents and employees for what he did in the performance of their Duty."
2005.700,2005.900,en-us,0.84666,,1," See what"
2005.900,2007.100,en-us,0.84666,,2," and"
2007.100,2009.400,en-us,0.84666,,1," so you could sue them personally."
2011.900,2016.400,en-us,0.80713,,1," And that may not come under one was six if it is outside of their Duty."
2017.200,2025.000,en-us,0.88930,,1," But that's not be within the jurisdiction of our core because we only can entertain that kind of action against the crown itself,"
2025.000,2025.500,en-us,0.88930,,2," correct?"
2026.400,2028.900,en-us,0.85964,,2," The other person assuming that the thought is true."
2029.900,2031.700,en-us,0.63597,,2," Assuming that the fact is traded"
2031.700,2032.100,en-us,0.63597,,1," are true."
2033.600,2039.700,en-us,0.91754,,2," Fraud would have to be one of the tools that these officers are allowed to employ to implement the custom job."
2041.100,2044.600,en-us,0.83951,,2," They have a number of activities that they can employers actually searches questioning."
2044.600,2051.200,en-us,0.83951,,1," I'm sorry, you're saying that they are entitled to use fraud as a mean of performing their Duty"
2051.200,2052.600,en-us,0.83951,,2," I'm saying they are not."
2052.600,2053.900,en-us,0.83951,,1," Okay, and"
2053.900,2058.000,en-us,0.83951,,2," that's why the protection 106 does not protect them from yes,"
2058.000,2059.600,en-us,0.83951,,1," and how do you"
2060.900,2066.000,en-us,0.86157,,1," Why do you think that the crown can be liable for something that is not within their Duty?"
2072.800,2074.600,en-us,0.59646,,2," And their Duty under the customers that"
2074.600,2078.000,en-us,0.59646,,1," you know, putting their duty of anything to abroad."
2081.000,2082.800,en-us,0.87687,,2," they were doing the Frog as a"
2084.600,2088.200,en-us,0.86571,,2,"Um, they were justifying it as implementing the Customs app."
2089.800,2091.800,en-us,0.91770,,2," So their cover was that their"
2093.000,2093.600,en-us,0.79809,,2," their Duty"
2096.000,2105.100,en-us,0.90977,,2," If we had met on the street and they asked me for for my coins, I would not have given this to them as a personal as a person."
2105.900,2110.000,en-us,0.80891,,2," as an individual I only gave him my coins because they were"
2110.000,2113.100,en-us,0.80891,,1," young in case you know that you"
2116.500,2117.200,en-us,0.60292,,2," for one was it?"
2120.400,2124.200,en-us,0.42947,,1," And that they could not apply to the front."
2126.400,2128.300,en-us,0.66891,,2," the one Florida I can point to"
